LAST SEEN   TYPE      REASON                 OBJECT                                           MESSAGE
26m         Normal    Scheduled              pod/cart-6cbfb749cf-swtk9                        Successfully assigned techx-corp-prod/cart-6cbfb749cf-swtk9 to ip-10-0-22-61.ec2.internal
26m         Normal    SuccessfulRescale      horizontalpodautoscaler/cart                     New size: 5; reason: cpu resource utilization (percentage of request) above target
26m         Normal    SuccessfulCreate       replicaset/cart-6cbfb749cf                       Created pod: cart-6cbfb749cf-swtk9
26m         Normal    ScalingReplicaSet      deployment/cart                                  Scaled up replica set cart-6cbfb749cf from 4 to 5
26m         Normal    Created                pod/cart-6cbfb749cf-swtk9                        Container created
26m         Normal    Pulled                 pod/cart-6cbfb749cf-swtk9                        Successfully pulled image "busybox:1.37.0" in 573ms (573ms including waiting). Image size: 1911349 bytes.
26m         Normal    Pulling                pod/cart-6cbfb749cf-swtk9                        Pulling image "busybox:1.37.0"
26m         Normal    Started                pod/cart-6cbfb749cf-swtk9                        Container started
26m         Normal    Pulling                pod/cart-6cbfb749cf-swtk9                        Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/cart:sha-fa6cb8f"
26m         Normal    Created                pod/cart-6cbfb749cf-swtk9                        Container created
26m         Normal    Started                pod/cart-6cbfb749cf-swtk9                        Container started
26m         Normal    Pulled                 pod/cart-6cbfb749cf-swtk9                        Successfully pulled image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/cart:sha-fa6cb8f" in 1.785s (1.785s including waiting). Image size: 50820594 bytes.
26m         Warning   Unhealthy              pod/cart-6cbfb749cf-swtk9                        Readiness probe failed: timeout: failed to connect service "10.0.22.68:8080" within 3s: context deadline exceeded
26m         Warning   Unhealthy              pod/cart-6cbfb749cf-swtk9                        Readiness probe failed: timeout: health rpc did not complete within 3s
26m         Normal    SuccessfulRescale      horizontalpodautoscaler/cart                     New size: 6; reason: cpu resource utilization (percentage of request) above target
26m         Normal    SuccessfulCreate       replicaset/cart-6cbfb749cf                       Created pod: cart-6cbfb749cf-99stt
26m         Warning   FailedScheduling       pod/cart-6cbfb749cf-99stt                        0/8 nodes are available: 2 node(s) didn't match Pod's node affinity/selector, 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/8 nodes are available: 2 Preemption is not helpful for scheduling, 6 No preemption victims found for incoming pod.
26m         Normal    ScalingReplicaSet      deployment/cart                                  Scaled up replica set cart-6cbfb749cf from 5 to 6
26m         Normal    Nominated              pod/cart-6cbfb749cf-99stt                        Pod should schedule on: nodeclaim/stateless-spot-qsbf2
26m         Normal    NotTriggerScaleUp      pod/cart-6cbfb749cf-99stt                        pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity/selector
26m         Normal    ScalingReplicaSet      deployment/cart                                  Scaled up replica set cart-6cbfb749cf from 6 to 7
26m         Normal    SuccessfulCreate       replicaset/cart-6cbfb749cf                       Created pod: cart-6cbfb749cf-92hdl
26m         Warning   FailedScheduling       pod/cart-6cbfb749cf-92hdl                        0/8 nodes are available: 2 node(s) didn't match Pod's node affinity/selector, 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/8 nodes are available: 2 Preemption is not helpful for scheduling, 6 No preemption victims found for incoming pod.
26m         Normal    SuccessfulRescale      horizontalpodautoscaler/cart                     New size: 7; reason: cpu resource utilization (percentage of request) above target
26m         Normal    Nominated              pod/cart-6cbfb749cf-92hdl                        Pod should schedule on: nodeclaim/stateless-spot-9g7sv
26m         Normal    NotTriggerScaleUp      pod/cart-6cbfb749cf-92hdl                        pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity/selector
25m         Warning   FailedScheduling       pod/cart-6cbfb749cf-99stt                        0/9 nodes are available: 1 node(s) had untolerated taint(s), 2 node(s) didn't match Pod's node affinity/selector, 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/9 nodes are available: 3 Preemption is not helpful for scheduling, 6 No preemption victims found for incoming pod.
25m         Warning   FailedScheduling       pod/cart-6cbfb749cf-92hdl                        0/9 nodes are available: 1 node(s) had untolerated taint(s), 2 node(s) didn't match Pod's node affinity/selector, 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/9 nodes are available: 3 Preemption is not helpful for scheduling, 6 No preemption victims found for incoming pod.
25m         Normal    Scheduled              pod/otel-collector-agent-nrrj7                   Successfully assigned techx-corp-prod/otel-collector-agent-nrrj7 to ip-10-0-37-197.ec2.internal
25m         Normal    Scheduled              pod/cart-6cbfb749cf-99stt                        Successfully assigned techx-corp-prod/cart-6cbfb749cf-99stt to ip-10-0-37-197.ec2.internal
25m         Normal    SuccessfulCreate       daemonset/otel-collector-agent                   Created pod: otel-collector-agent-nrrj7
25m         Normal    Pulling                pod/otel-collector-agent-nrrj7                   Pulling image "otel/opentelemetry-collector-contrib:0.151.0"
25m         Normal    Pulling                pod/cart-6cbfb749cf-99stt                        Pulling image "busybox:1.37.0"
25m         Normal    Pulled                 pod/cart-6cbfb749cf-99stt                        Successfully pulled image "busybox:1.37.0" in 826ms (826ms including waiting). Image size: 1911349 bytes.
